Date/Time,Date,Time,Value [Cubic meter per cubic meter],Quality code,Interpolation type,,tagComments
1997-12-21 00:00:00,1997-12-21,00:00:00,---,-2147483393,103,,
1997-12-22 00:00:00,1997-12-22,00:00:00,---,-2147483393,103,,
1997-12-23 00:00:00,1997-12-23,00:00:00,---,-2147483393,103,,
1997-12-24 00:00:00,1997-12-24,00:00:00,---,-2147483393,103,,
1997-12-25 00:00:00,1997-12-25,00:00:00,---,-2147483393,103,,
1997-12-26 00:00:00,1997-12-26,00:00:00,---,-2147483393,103,,
1997-12-27 00:00:00,1997-12-27,00:00:00,---,-2147483393,103,,
1997-12-28 00:00:00,1997-12-28,00:00:00,---,-2147483393,103,,
1997-12-29 00:00:00,1997-12-29,00:00:00,---,-2147483393,103,,
1997-12-30 00:00:00,1997-12-30,00:00:00,---,-2147483393,103,,
1997-12-31 00:00:00,1997-12-31,00:00:00,---,-2147483393,103,,
1998-01-01 00:00:00,1998-01-01,00:00:00,---,-2147483393,103,,
1998-01-02 00:00:00,1998-01-02,00:00:00,---,-2147483393,103,,
1998-01-03 00:00:00,1998-01-03,00:00:00,---,-2147483393,103,,
1998-01-04 00:00:00,1998-01-04,00:00:00,---,-2147483393,103,,
1998-01-05 00:00:00,1998-01-05,00:00:00,---,-2147483393,103,,
1998-01-06 00:00:00,1998-01-06,00:00:00,---,-2147483393,103,,
1998-01-07 00:00:00,1998-01-07,00:00:00,---,-2147483393,103,,
1998-01-08 00:00:00,1998-01-08,00:00:00,---,-2147483393,103,,
1998-01-09 00:00:00,1998-01-09,00:00:00,---,-2147483393,103,,
1998-01-10 00:00:00,1998-01-10,00:00:00,---,-2147483393,103,,
1998-01-11 00:00:00,1998-01-11,00:00:00,---,-2147483393,103,,
1998-01-12 00:00:00,1998-01-12,00:00:00,---,-2147483393,103,,
1998-01-13 00:00:00,1998-01-13,00:00:00,---,-2147483393,103,,
1998-01-14 00:00:00,1998-01-14,00:00:00,---,-2147483393,103,,
1998-01-15 00:00:00,1998-01-15,00:00:00,---,-2147483393,103,,
1998-01-16 00:00:00,1998-01-16,00:00:00,---,-2147483393,103,,
1998-01-17 00:00:00,1998-01-17,00:00:00,---,-2147483393,103,,
1998-01-18 00:00:00,1998-01-18,00:00:00,---,-2147483393,103,,
1998-01-19 00:00:00,1998-01-19,00:00:00,---,-2147483393,103,,
1998-01-20 00:00:00,1998-01-20,00:00:00,---,-2147483393,103,,
1998-01-21 00:00:00,1998-01-21,00:00:00,---,-2147483393,103,,
1998-01-22 00:00:00,1998-01-22,00:00:00,---,-2147483393,103,,
1998-01-23 00:00:00,1998-01-23,00:00:00,---,-2147483393,103,,
1998-01-24 00:00:00,1998-01-24,00:00:00,---,-2147483393,103,,
1998-01-25 00:00:00,1998-01-25,00:00:00,---,-2147483393,103,,
1998-01-26 00:00:00,1998-01-26,00:00:00,---,-2147483393,103,,
1998-01-27 00:00:00,1998-01-27,00:00:00,---,-2147483393,103,,
1998-01-28 00:00:00,1998-01-28,00:00:00,---,-2147483393,103,,
1998-01-29 00:00:00,1998-01-29,00:00:00,---,-2147483393,103,,
1998-01-30 00:00:00,1998-01-30,00:00:00,---,-2147483393,103,,
1998-01-31 00:00:00,1998-01-31,00:00:00,---,-2147483393,103,,
1998-02-01 00:00:00,1998-02-01,00:00:00,---,-2147483393,103,,
1998-02-02 00:00:00,1998-02-02,00:00:00,---,-2147483393,103,,
1998-02-03 00:00:00,1998-02-03,00:00:00,---,-2147483393,103,,
1998-02-04 00:00:00,1998-02-04,00:00:00,---,-2147483393,103,,
1998-02-05 00:00:00,1998-02-05,00:00:00,---,-2147483393,103,,
1998-02-06 00:00:00,1998-02-06,00:00:00,---,-2147483393,103,,
1998-02-07 00:00:00,1998-02-07,00:00:00,---,-2147483393,103,,
1998-02-08 00:00:00,1998-02-08,00:00:00,---,-2147483393,103,,
1998-02-09 00:00:00,1998-02-09,00:00:00,---,-2147483393,103,,
1998-02-10 00:00:00,1998-02-10,00:00:00,---,-2147483393,103,,
1998-02-11 00:00:00,1998-02-11,00:00:00,---,-2147483393,103,,
1998-02-12 00:00:00,1998-02-12,00:00:00,---,-2147483393,103,,
1998-02-13 00:00:00,1998-02-13,00:00:00,---,-2147483393,103,,
1998-02-14 00:00:00,1998-02-14,00:00:00,---,-2147483393,103,,
1998-02-15 00:00:00,1998-02-15,00:00:00,---,-2147483393,103,,
1998-02-16 00:00:00,1998-02-16,00:00:00,---,-2147483393,103,,
1998-02-17 00:00:00,1998-02-17,00:00:00,---,-2147483393,103,,
1998-02-18 00:00:00,1998-02-18,00:00:00,---,-2147483393,103,,
1998-02-19 00:00:00,1998-02-19,00:00:00,---,-2147483393,103,,
1998-02-20 00:00:00,1998-02-20,00:00:00,---,-2147483393,103,,
1998-02-21 00:00:00,1998-02-21,00:00:00,---,-2147483393,103,,
1998-02-22 00:00:00,1998-02-22,00:00:00,---,-2147483393,103,,
1998-02-23 00:00:00,1998-02-23,00:00:00,---,-2147483393,103,,
1998-02-24 00:00:00,1998-02-24,00:00:00,---,-2147483393,103,,
1998-02-25 00:00:00,1998-02-25,00:00:00,---,-2147483393,103,,
1998-02-26 00:00:00,1998-02-26,00:00:00,---,-2147483393,103,,
1998-02-27 00:00:00,1998-02-27,00:00:00,---,-2147483393,103,,
1998-02-28 00:00:00,1998-02-28,00:00:00,---,-2147483393,103,,
1998-03-01 00:00:00,1998-03-01,00:00:00,---,-2147483393,103,,
1998-03-02 00:00:00,1998-03-02,00:00:00,---,-2147483393,103,,
1998-03-03 00:00:00,1998-03-03,00:00:00,---,-2147483393,103,,
1998-03-04 00:00:00,1998-03-04,00:00:00,---,-2147483393,103,,
1998-03-05 00:00:00,1998-03-05,00:00:00,---,-2147483393,103,,
1998-03-06 00:00:00,1998-03-06,00:00:00,---,-2147483393,103,,
1998-03-07 00:00:00,1998-03-07,00:00:00,---,-2147483393,103,,
1998-03-08 00:00:00,1998-03-08,00:00:00,---,-2147483393,103,,
1998-03-09 00:00:00,1998-03-09,00:00:00,---,-2147483393,103,,
1998-03-10 00:00:00,1998-03-10,00:00:00,---,-2147483393,103,,
1998-03-11 00:00:00,1998-03-11,00:00:00,---,-2147483393,103,,
1998-03-12 00:00:00,1998-03-12,00:00:00,---,-2147483393,103,,
1998-03-13 00:00:00,1998-03-13,00:00:00,---,-2147483393,103,,
1998-03-14 00:00:00,1998-03-14,00:00:00,---,-2147483393,103,,
1998-03-15 00:00:00,1998-03-15,00:00:00,---,-2147483393,103,,
1998-03-16 00:00:00,1998-03-16,00:00:00,---,-2147483393,103,,
1998-03-17 00:00:00,1998-03-17,00:00:00,---,-2147483393,103,,
1998-03-18 00:00:00,1998-03-18,00:00:00,---,-2147483393,103,,
1998-03-19 00:00:00,1998-03-19,00:00:00,---,-2147483393,103,,
1998-03-20 00:00:00,1998-03-20,00:00:00,---,-2147483393,103,,
1998-03-21 00:00:00,1998-03-21,00:00:00,---,-2147483393,103,,
1998-03-22 00:00:00,1998-03-22,00:00:00,---,-2147483393,103,,
1998-03-23 00:00:00,1998-03-23,00:00:00,---,-2147483393,103,,
1998-03-24 00:00:00,1998-03-24,00:00:00,---,-2147483393,103,,
1998-03-25 00:00:00,1998-03-25,00:00:00,---,-2147483393,103,,
1998-03-26 00:00:00,1998-03-26,00:00:00,---,-2147483393,103,,
1998-03-27 00:00:00,1998-03-27,00:00:00,---,-2147483393,103,,
1998-03-28 00:00:00,1998-03-28,00:00:00,---,-2147483393,103,,
1998-03-29 00:00:00,1998-03-29,00:00:00,---,-2147483393,103,,
1998-03-30 00:00:00,1998-03-30,00:00:00,---,-2147483393,103,,
1998-03-31 00:00:00,1998-03-31,00:00:00,---,-2147483393,103,,
1998-04-01 00:00:00,1998-04-01,00:00:00,---,-2147483393,103,,
1998-04-02 00:00:00,1998-04-02,00:00:00,---,-2147483393,103,,
1998-04-03 00:00:00,1998-04-03,00:00:00,---,-2147483393,103,,
1998-04-04 00:00:00,1998-04-04,00:00:00,---,-2147483393,103,,
1998-04-05 00:00:00,1998-04-05,00:00:00,---,-2147483393,103,,
1998-04-06 00:00:00,1998-04-06,00:00:00,---,-2147483393,103,,
1998-04-07 00:00:00,1998-04-07,00:00:00,---,-2147483393,103,,
1998-04-08 00:00:00,1998-04-08,00:00:00,---,-2147483393,103,,
1998-04-09 00:00:00,1998-04-09,00:00:00,---,-2147483393,103,,
1998-04-10 00:00:00,1998-04-10,00:00:00,---,-2147483393,103,,
1998-04-11 00:00:00,1998-04-11,00:00:00,---,-2147483393,103,,
1998-04-12 00:00:00,1998-04-12,00:00:00,---,-2147483393,103,,
1998-04-13 00:00:00,1998-04-13,00:00:00,---,-2147483393,103,,
1998-04-14 00:00:00,1998-04-14,00:00:00,---,-2147483393,103,,
1998-04-15 00:00:00,1998-04-15,00:00:00,---,-2147483393,103,,
1998-04-16 00:00:00,1998-04-16,00:00:00,---,-2147483393,103,,
1998-04-17 00:00:00,1998-04-17,00:00:00,---,-2147483393,103,,
1998-04-18 00:00:00,1998-04-18,00:00:00,---,-2147483393,103,,
1998-04-19 00:00:00,1998-04-19,00:00:00,---,-2147483393,103,,
1998-04-20 00:00:00,1998-04-20,00:00:00,---,-2147483393,103,,
1998-04-21 00:00:00,1998-04-21,00:00:00,---,-2147483393,103,,
1998-04-22 00:00:00,1998-04-22,00:00:00,---,-2147483393,103,,
1998-04-23 00:00:00,1998-04-23,00:00:00,---,-2147483393,103,,
1998-04-24 00:00:00,1998-04-24,00:00:00,---,-2147483393,103,,
1998-04-25 00:00:00,1998-04-25,00:00:00,---,-2147483393,103,,
1998-04-26 00:00:00,1998-04-26,00:00:00,---,-2147483393,103,,
1998-04-27 00:00:00,1998-04-27,00:00:00,---,-2147483393,103,,
1998-04-28 00:00:00,1998-04-28,00:00:00,---,-2147483393,103,,
1998-04-29 00:00:00,1998-04-29,00:00:00,---,-2147483393,103,,
1998-04-30 00:00:00,1998-04-30,00:00:00,---,-2147483393,103,,
1998-05-01 00:00:00,1998-05-01,00:00:00,---,-2147483393,103,,
1998-05-02 00:00:00,1998-05-02,00:00:00,---,-2147483393,103,,
1998-05-03 00:00:00,1998-05-03,00:00:00,---,-2147483393,103,,
1998-05-04 00:00:00,1998-05-04,00:00:00,---,-2147483393,103,,
1998-05-05 00:00:00,1998-05-05,00:00:00,---,-2147483393,103,,
1998-05-06 00:00:00,1998-05-06,00:00:00,---,-2147483393,103,,
1998-05-07 00:00:00,1998-05-07,00:00:00,---,-2147483393,103,,
1998-05-08 00:00:00,1998-05-08,00:00:00,---,-2147483393,103,,
1998-05-09 00:00:00,1998-05-09,00:00:00,---,-2147483393,103,,
1998-05-10 00:00:00,1998-05-10,00:00:00,---,-2147483393,103,,
1998-05-11 00:00:00,1998-05-11,00:00:00,---,-2147483393,103,,
1998-05-12 00:00:00,1998-05-12,00:00:00,---,-2147483393,103,,
1998-05-13 00:00:00,1998-05-13,00:00:00,---,-2147483393,103,,
1998-05-14 00:00:00,1998-05-14,00:00:00,---,-2147483393,103,,
1998-05-15 00:00:00,1998-05-15,00:00:00,---,-2147483393,103,,
1998-05-16 00:00:00,1998-05-16,00:00:00,---,-2147483393,103,,
1998-05-17 00:00:00,1998-05-17,00:00:00,---,-2147483393,103,,
1998-05-18 00:00:00,1998-05-18,00:00:00,---,-2147483393,103,,
1998-05-19 00:00:00,1998-05-19,00:00:00,---,-2147483393,103,,
1998-05-20 00:00:00,1998-05-20,00:00:00,---,-2147483393,103,,
1998-05-21 00:00:00,1998-05-21,00:00:00,---,-2147483393,103,,
1998-05-22 00:00:00,1998-05-22,00:00:00,---,-2147483393,103,,
1998-05-23 00:00:00,1998-05-23,00:00:00,---,-2147483393,103,,
1998-05-24 00:00:00,1998-05-24,00:00:00,---,-2147483393,103,,
1998-05-25 00:00:00,1998-05-25,00:00:00,---,-2147483393,103,,
1998-05-26 00:00:00,1998-05-26,00:00:00,---,-2147483393,103,,
1998-05-27 00:00:00,1998-05-27,00:00:00,---,-2147483393,103,,
1998-05-28 00:00:00,1998-05-28,00:00:00,---,-2147483393,103,,
1998-05-29 00:00:00,1998-05-29,00:00:00,---,-2147483393,103,,
1998-05-30 00:00:00,1998-05-30,00:00:00,---,-2147483393,103,,
1998-05-31 00:00:00,1998-05-31,00:00:00,---,-2147483393,103,,
1998-06-01 00:00:00,1998-06-01,00:00:00,---,-2147483393,103,,
1998-06-02 00:00:00,1998-06-02,00:00:00,---,-2147483393,103,,
1998-06-03 00:00:00,1998-06-03,00:00:00,---,-2147483393,103,,
1998-06-04 00:00:00,1998-06-04,00:00:00,---,-2147483393,103,,
1998-06-05 00:00:00,1998-06-05,00:00:00,---,-2147483393,103,,
1998-06-06 00:00:00,1998-06-06,00:00:00,---,-2147483393,103,,
1998-06-07 00:00:00,1998-06-07,00:00:00,---,-2147483393,103,,
1998-06-08 00:00:00,1998-06-08,00:00:00,---,-2147483393,103,,
1998-06-09 00:00:00,1998-06-09,00:00:00,---,-2147483393,103,,
1998-06-10 00:00:00,1998-06-10,00:00:00,---,-2147483393,103,,
1998-06-11 00:00:00,1998-06-11,00:00:00,---,-2147483393,103,,
1998-06-12 00:00:00,1998-06-12,00:00:00,---,-2147483393,103,,
1998-06-13 00:00:00,1998-06-13,00:00:00,---,-2147483393,103,,
1998-06-14 00:00:00,1998-06-14,00:00:00,---,-2147483393,103,,
1998-06-15 00:00:00,1998-06-15,00:00:00,---,-2147483393,103,,
1998-06-16 00:00:00,1998-06-16,00:00:00,---,-2147483393,103,,
1998-06-17 00:00:00,1998-06-17,00:00:00,---,-2147483393,103,,
1998-06-18 00:00:00,1998-06-18,00:00:00,---,-2147483393,103,,
1998-06-19 00:00:00,1998-06-19,00:00:00,---,-2147483393,103,,
1998-06-20 00:00:00,1998-06-20,00:00:00,---,-2147483393,103,,
1998-06-21 00:00:00,1998-06-21,00:00:00,---,-2147483393,103,,
1998-06-22 00:00:00,1998-06-22,00:00:00,---,-2147483393,103,,
1998-06-23 00:00:00,1998-06-23,00:00:00,---,-2147483393,103,,
1998-06-24 00:00:00,1998-06-24,00:00:00,---,-2147483393,103,,
1998-06-25 00:00:00,1998-06-25,00:00:00,---,-2147483393,103,,
1998-06-26 00:00:00,1998-06-26,00:00:00,---,-2147483393,103,,
1998-06-27 00:00:00,1998-06-27,00:00:00,---,-2147483393,103,,
1998-06-28 00:00:00,1998-06-28,00:00:00,---,-2147483393,103,,
1998-06-29 00:00:00,1998-06-29,00:00:00,---,-2147483393,103,,
1998-06-30 00:00:00,1998-06-30,00:00:00,---,-2147483393,103,,
1998-07-01 00:00:00,1998-07-01,00:00:00,---,-2147483393,103,,
1998-07-02 00:00:00,1998-07-02,00:00:00,---,-2147483393,103,,
1998-07-03 00:00:00,1998-07-03,00:00:00,---,-2147483393,103,,
1998-07-04 00:00:00,1998-07-04,00:00:00,---,-2147483393,103,,
1998-07-05 00:00:00,1998-07-05,00:00:00,---,-2147483393,103,,
1998-07-06 00:00:00,1998-07-06,00:00:00,---,-2147483393,103,,
1998-07-07 00:00:00,1998-07-07,00:00:00,---,-2147483393,103,,
1998-07-08 00:00:00,1998-07-08,00:00:00,---,-2147483393,103,,
1998-07-09 00:00:00,1998-07-09,00:00:00,---,-2147483393,103,,
1998-07-10 00:00:00,1998-07-10,00:00:00,---,-2147483393,103,,
1998-07-11 00:00:00,1998-07-11,00:00:00,---,-2147483393,103,,
1998-07-12 00:00:00,1998-07-12,00:00:00,---,-2147483393,103,,
1998-07-13 00:00:00,1998-07-13,00:00:00,---,-2147483393,103,,
1998-07-14 00:00:00,1998-07-14,00:00:00,---,-2147483393,103,,
1998-07-15 00:00:00,1998-07-15,00:00:00,---,-2147483393,103,,
1998-07-16 00:00:00,1998-07-16,00:00:00,---,-2147483393,103,,
1998-07-17 00:00:00,1998-07-17,00:00:00,---,-2147483393,103,,
1998-07-18 00:00:00,1998-07-18,00:00:00,---,-2147483393,103,,
1998-07-19 00:00:00,1998-07-19,00:00:00,---,-2147483393,103,,
1998-07-20 00:00:00,1998-07-20,00:00:00,---,-2147483393,103,,
1998-07-21 00:00:00,1998-07-21,00:00:00,---,-2147483393,103,,
1998-07-22 00:00:00,1998-07-22,00:00:00,---,-2147483393,103,,
1998-07-23 00:00:00,1998-07-23,00:00:00,---,-2147483393,103,,
1998-07-24 00:00:00,1998-07-24,00:00:00,---,-2147483393,103,,
1998-07-25 00:00:00,1998-07-25,00:00:00,---,-2147483393,103,,
1998-07-26 00:00:00,1998-07-26,00:00:00,---,-2147483393,103,,
1998-07-27 00:00:00,1998-07-27,00:00:00,---,-2147483393,103,,
1998-07-28 00:00:00,1998-07-28,00:00:00,---,-2147483393,103,,
1998-07-29 00:00:00,1998-07-29,00:00:00,---,-2147483393,103,,
1998-07-30 00:00:00,1998-07-30,00:00:00,---,-2147483393,103,,
1998-07-31 00:00:00,1998-07-31,00:00:00,---,-2147483393,103,,
1998-08-01 00:00:00,1998-08-01,00:00:00,---,-2147483393,103,,
1998-08-02 00:00:00,1998-08-02,00:00:00,---,-2147483393,103,,
1998-08-03 00:00:00,1998-08-03,00:00:00,---,-2147483393,103,,
1998-08-04 00:00:00,1998-08-04,00:00:00,---,-2147483393,103,,
1998-08-05 00:00:00,1998-08-05,00:00:00,---,-2147483393,103,,
1998-08-06 00:00:00,1998-08-06,00:00:00,---,-2147483393,103,,
1998-08-07 00:00:00,1998-08-07,00:00:00,---,-2147483393,103,,
1998-08-08 00:00:00,1998-08-08,00:00:00,---,-2147483393,103,,
1998-08-09 00:00:00,1998-08-09,00:00:00,---,-2147483393,103,,
1998-08-10 00:00:00,1998-08-10,00:00:00,---,-2147483393,103,,
1998-08-11 00:00:00,1998-08-11,00:00:00,---,-2147483393,103,,
1998-08-12 00:00:00,1998-08-12,00:00:00,---,-2147483393,103,,
1998-08-13 00:00:00,1998-08-13,00:00:00,---,-2147483393,103,,
1998-08-14 00:00:00,1998-08-14,00:00:00,---,-2147483393,103,,
1998-08-15 00:00:00,1998-08-15,00:00:00,---,-2147483393,103,,
1998-08-16 00:00:00,1998-08-16,00:00:00,---,-2147483393,103,,
1998-08-17 00:00:00,1998-08-17,00:00:00,---,-2147483393,103,,
1998-08-18 00:00:00,1998-08-18,00:00:00,---,-2147483393,103,,
1998-08-19 00:00:00,1998-08-19,00:00:00,---,-2147483393,103,,
1998-08-20 00:00:00,1998-08-20,00:00:00,---,-2147483393,103,,
1998-08-21 00:00:00,1998-08-21,00:00:00,---,-2147483393,103,,
1998-08-22 00:00:00,1998-08-22,00:00:00,---,-2147483393,103,,
1998-08-23 00:00:00,1998-08-23,00:00:00,---,-2147483393,103,,
1998-08-24 00:00:00,1998-08-24,00:00:00,---,-2147483393,103,,
1998-08-25 00:00:00,1998-08-25,00:00:00,---,-2147483393,103,,
1998-08-26 00:00:00,1998-08-26,00:00:00,---,-2147483393,103,,
1998-08-27 00:00:00,1998-08-27,00:00:00,---,-2147483393,103,,
1998-08-28 00:00:00,1998-08-28,00:00:00,---,-2147483393,103,,
1998-08-29 00:00:00,1998-08-29,00:00:00,---,-2147483393,103,,
1998-08-30 00:00:00,1998-08-30,00:00:00,---,-2147483393,103,,
1998-08-31 00:00:00,1998-08-31,00:00:00,---,-2147483393,103,,
1998-09-01 00:00:00,1998-09-01,00:00:00,---,-2147483393,103,,
1998-09-02 00:00:00,1998-09-02,00:00:00,---,-2147483393,103,,
1998-09-03 00:00:00,1998-09-03,00:00:00,---,-2147483393,103,,
1998-09-04 00:00:00,1998-09-04,00:00:00,---,-2147483393,103,,
1998-09-05 00:00:00,1998-09-05,00:00:00,---,-2147483393,103,,
1998-09-06 00:00:00,1998-09-06,00:00:00,---,-2147483393,103,,
1998-09-07 00:00:00,1998-09-07,00:00:00,---,-2147483393,103,,
1998-09-08 00:00:00,1998-09-08,00:00:00,---,-2147483393,103,,
1998-09-09 00:00:00,1998-09-09,00:00:00,---,-2147483393,103,,
1998-09-10 00:00:00,1998-09-10,00:00:00,---,-2147483393,103,,
1998-09-11 00:00:00,1998-09-11,00:00:00,---,-2147483393,103,,
1998-09-12 00:00:00,1998-09-12,00:00:00,---,-2147483393,103,,
1998-09-13 00:00:00,1998-09-13,00:00:00,---,-2147483393,103,,
1998-09-14 00:00:00,1998-09-14,00:00:00,---,-2147483393,103,,
1998-09-15 00:00:00,1998-09-15,00:00:00,---,-2147483393,103,,
1998-09-16 00:00:00,1998-09-16,00:00:00,---,-2147483393,103,,
1998-09-17 00:00:00,1998-09-17,00:00:00,---,-2147483393,103,,
1998-09-18 00:00:00,1998-09-18,00:00:00,---,-2147483393,103,,
1998-09-19 00:00:00,1998-09-19,00:00:00,---,-2147483393,103,,
1998-09-20 00:00:00,1998-09-20,00:00:00,---,-2147483393,103,,
1998-09-21 00:00:00,1998-09-21,00:00:00,---,-2147483393,103,,
1998-09-22 00:00:00,1998-09-22,00:00:00,---,-2147483393,103,,
1998-09-23 00:00:00,1998-09-23,00:00:00,---,-2147483393,103,,
1998-09-24 00:00:00,1998-09-24,00:00:00,---,-2147483393,103,,
1998-09-25 00:00:00,1998-09-25,00:00:00,---,-2147483393,103,,
1998-09-26 00:00:00,1998-09-26,00:00:00,---,-2147483393,103,,
1998-09-27 00:00:00,1998-09-27,00:00:00,---,-2147483393,103,,
1998-09-28 00:00:00,1998-09-28,00:00:00,---,-2147483393,103,,
1998-09-29 00:00:00,1998-09-29,00:00:00,---,-2147483393,103,,
1998-09-30 00:00:00,1998-09-30,00:00:00,---,-2147483393,103,,
1998-10-01 00:00:00,1998-10-01,00:00:00,---,-2147483393,103,,
